"","Ant4","Ant540","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant76","Ant191","Ant202","Ant268","Ant518","Ant0","Ant23","Ant29","Ant32","Ant42","Ant44","Ant55","Ant63","Ant97","Ant109","Ant115","Ant117","Ant127","Ant139","Ant153","Ant156","Ant173","Ant176","Ant178","Ant190","Ant207","Ant215","Ant218","Ant219","Ant242","Ant243","Ant255","Ant294","Ant347","Ant356","Ant380","Ant387","Ant390","Ant394","Ant400","Ant482","Ant501","Ant538","Ant560","Ant564","Ant593"
"Ant4",0,11,6,10,0,6,11,1,0,1,4,7,18,3,11,3,6,8,7,5,12,11,6,1,10,4,4,14,1,3,2,4,3,11,5,8,3,2,0,0,0,1,3,7,37,3,1,7,4,3,10,0,2,8
"Ant540",11,0,0,6,0,2,0,0,1,4,1,4,6,8,2,13,0,2,1,3,5,3,1,0,3,2,9,7,2,3,0,19,5,14,6,7,5,12,1,0,0,2,0,4,5,7,0,1,6,1,8,0,1,1
"Ant19",6,0,0,24,0,11,42,23,3,3,19,3,22,0,30,10,29,16,21,14,0,5,2,0,20,3,0,6,1,1,7,0,0,0,0,21,0,3,6,0,0,22,67,0,6,2,9,36,5,17,1,20,13,13
"Ant26",10,6,24,0,0,22,26,25,6,1,43,5,8,2,16,8,21,7,15,1,5,6,13,5,12,2,0,6,2,2,5,3,2,1,2,8,0,5,11,0,0,18,36,0,12,5,4,33,2,13,0,24,12,14
"Ant30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant38",6,2,11,22,0,0,16,9,14,0,35,1,10,0,25,2,37,4,13,17,2,7,18,25,7,5,0,4,0,0,13,1,3,3,3,9,0,1,4,26,34,21,49,0,8,0,1,20,3,3,4,37,14,8
"Ant60",11,0,42,26,0,16,0,38,25,2,12,6,16,0,18,4,9,3,19,9,4,4,28,3,11,1,0,7,0,1,15,9,2,0,1,14,0,3,26,0,0,9,75,0,2,1,0,26,1,17,0,17,20,24
"Ant64",1,0,23,25,0,9,38,0,12,1,23,10,11,3,21,7,13,5,16,9,0,8,9,3,21,6,4,10,2,11,8,6,2,6,4,11,0,14,27,0,0,18,12,8,1,4,7,25,11,15,8,13,16,29
"Ant76",0,1,3,6,0,14,25,12,0,1,17,18,13,1,4,6,19,3,15,6,2,5,8,10,15,1,0,3,3,1,13,3,0,1,1,8,0,3,15,6,9,17,20,1,4,0,3,16,1,13,3,15,5,9
"Ant191",1,4,3,1,0,0,2,1,1,0,1,1,0,5,0,2,0,3,0,2,2,2,0,2,4,2,14,4,5,15,0,3,0,4,0,3,6,14,2,0,0,1,0,6,1,4,1,0,5,3,11,1,2,2
"Ant202",4,1,19,43,0,35,12,23,17,1,0,12,9,2,26,6,15,15,15,18,11,10,11,0,25,4,0,7,1,1,0,5,2,3,2,7,0,6,4,1,1,17,36,4,12,0,10,16,8,14,4,33,18,14
"Ant268",7,4,3,5,0,1,6,10,18,1,12,0,7,9,2,7,1,1,5,4,7,5,2,0,14,5,0,8,1,2,2,7,2,7,3,7,1,10,5,0,0,7,5,2,4,4,5,15,8,22,11,5,3,1
"Ant518",18,6,22,8,0,10,16,11,13,0,9,7,0,1,6,9,5,5,12,6,11,26,9,4,9,2,3,23,0,2,8,5,4,17,4,8,3,12,7,4,0,13,7,0,28,0,4,13,6,9,3,10,13,6
"Ant0",3,8,0,2,0,0,0,3,1,5,2,9,1,0,2,1,1,2,4,1,5,3,0,0,1,1,7,3,4,6,1,11,11,6,3,6,30,16,3,0,0,0,6,1,3,7,1,2,1,0,8,0,1,3
"Ant23",11,2,30,16,0,25,18,21,4,0,26,2,6,2,0,3,14,5,11,14,3,10,11,14,7,5,0,20,3,1,9,3,3,5,3,17,1,6,8,5,8,16,58,1,22,0,6,6,2,15,3,27,28,13
"Ant29",3,13,10,8,0,2,4,7,6,2,6,7,9,1,3,0,3,7,12,5,12,11,11,2,5,10,2,11,1,6,3,5,14,7,5,8,3,10,5,0,0,5,3,3,5,2,3,9,2,6,13,2,6,8
"Ant32",6,0,29,21,1,37,9,13,19,0,15,1,5,1,14,3,0,4,10,10,1,0,8,17,24,1,0,0,0,0,13,0,1,0,2,8,0,2,3,23,36,22,63,0,0,0,1,26,1,6,1,42,6,2
"Ant42",8,2,16,7,0,4,3,5,3,3,15,1,5,2,5,7,4,0,11,1,5,19,1,2,7,12,2,8,1,0,4,2,5,9,4,9,3,2,9,0,0,9,14,3,28,0,17,11,6,4,9,12,5,15
"Ant44",7,1,21,15,1,13,19,16,15,0,15,5,12,4,11,12,10,11,0,29,6,6,24,4,3,1,1,10,0,3,9,10,6,4,0,8,0,3,10,9,3,7,20,1,8,1,19,7,1,2,9,12,11,18
"Ant55",5,3,14,1,0,17,9,9,6,2,18,4,6,1,14,5,10,1,29,0,1,12,6,14,7,4,1,2,1,1,10,0,1,12,0,0,2,3,27,14,6,26,29,0,16,0,13,5,4,3,2,13,12,4
"Ant63",12,5,0,5,0,2,4,0,2,2,11,7,11,5,3,12,1,5,6,1,0,22,4,2,1,3,8,11,9,1,0,10,11,9,3,1,4,11,5,0,0,2,0,3,18,3,6,8,1,14,13,8,4,11
"Ant97",11,3,5,6,0,7,4,8,5,2,10,5,26,3,10,11,0,19,6,12,22,0,9,0,12,6,3,17,1,1,2,5,3,23,3,3,4,4,4,0,0,3,0,1,81,1,19,9,7,16,12,6,7,11
"Ant109",6,1,2,13,0,18,28,9,8,0,11,2,9,0,11,11,8,1,24,6,4,9,0,0,3,9,0,8,1,4,1,0,2,2,3,1,0,5,7,0,0,7,8,0,4,0,4,7,2,7,2,5,11,7
"Ant115",1,0,0,5,2,25,3,3,10,2,0,0,4,0,14,2,17,2,4,14,2,0,0,0,13,1,0,2,0,0,7,0,1,1,0,1,0,0,13,6,15,17,3,0,15,0,0,5,0,6,1,6,12,1
"Ant117",10,3,20,12,0,7,11,21,15,4,25,14,9,1,7,5,24,7,3,7,1,12,3,13,0,0,6,10,1,4,14,6,6,15,3,9,0,6,11,5,6,15,42,0,18,6,9,21,1,12,4,27,12,5
"Ant127",4,2,3,2,0,5,1,6,1,2,4,5,2,1,5,10,1,12,1,4,3,6,9,1,0,0,4,1,0,1,2,4,0,11,0,2,0,1,1,0,0,4,0,0,10,1,3,6,5,7,0,7,4,2
"Ant139",4,9,0,0,0,0,0,4,0,14,0,0,3,7,0,2,0,2,1,1,8,3,0,0,6,4,0,7,6,3,0,5,6,9,0,1,3,12,1,0,0,1,0,4,5,5,1,0,3,3,13,0,0,1
"Ant153",14,7,6,6,0,4,7,10,3,4,7,8,23,3,20,11,0,8,10,2,11,17,8,2,10,1,7,0,1,4,0,7,4,21,6,26,1,13,4,0,0,12,0,1,28,1,5,26,11,4,16,5,10,24
